,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
379,SRD1_f,SRD1,Forward,1.0548420664850904,1.1150637207902883,1.1567804583687358,0.24782198870104907,1.905664333607801,0.05669376953223345,0.12346643142575284,579,35171,No
247,MSN1_f,MSN1,Forward,1.0545936681065027,1.049434697521603,1.914408189449517,0.055663010803368274,2.008677945512158,0.044571299100166294,0.10197635747431043,2686,33064,No
474,HAP2_r,HAP2,Reverse,1.05369467166989,1.0882246499854065,3.4599915173387563,0.0005419080619201484,3.961161341655801,7.45861117546044e-05,0.00031103995540218005,7976,27774,Yes
74,ASH1,ASH1,Both,1.053164249022144,1.0508807334150443,1.6099115958138819,0.10757501445521724,1.5419094889074259,0.12309558977611022,0.22618814621360253,1844,33906,No
44,RTG1,RTG1,Both,1.0531405406716945,1.07138404837824,0.9043579984645729,0.36636463146076326,1.2018039831683525,0.22943948186694896,0.3569058606819206,381,35369,No
121,UGA3,UGA3,Both,1.052965553341349,1.0768358568018324,2.266855591587856,0.023455529087926065,2.560563804059005,0.010450247231405562,0.029684760251528844,3161,32589,Yes
288,RME1_f,RME1,Forward,1.0529340424796751,1.0662676499025592,2.497350007096164,0.012540118464559437,2.3744398000986293,0.01757560194889766,0.04676223504955577,4649,31101,Yes
137,BAS1,BAS1,Both,1.0529259266862054,1.0184106788374152,1.8939951535903086,0.058315289229451825,0.8854105754192592,0.37593523068334544,0.5058350472352566,2865,32885,No
150,NRG1,NRG1,Both,1.0522904861219051,1.0725709592933637,2.1606494761262582,0.03078818969686414,2.673475020136935,0.00750698668497581,0.02185202064735533,3064,32686,Yes
155,SIP4,SIP4,Both,1.0521411048339695,1.105950093868238,0.7091226276313931,0.47886677741823647,0.7484538099314566,0.45418647595265493,0.5743261244304539,264,35486,No
107,ARO80,ARO80,Both,1.0517065142188577,1.0851379560144527,0.7806935754762669,0.4355689625126423,0.7771045137347387,0.43709711115583705,0.5623919066950376,310,35440,No
252,HAP4_f,HAP4,Forward,1.05084528521229,1.0351188864625949,1.0246017470479993,0.3057750635873876,0.7820061254486486,0.43421097372593065,0.5611341814304335,1070,34680,No
110,CUP9,CUP9,Both,1.050559149190088,1.0825669300706962,1.0712639912229003,0.2845154846147247,1.9728056700585488,0.048517706929649525,0.10888706746043482,536,35214,No
234,FKH1_f,FKH1,Forward,1.050023139836256,1.0753110184539227,1.7249143347384819,0.0846585616500542,1.6030748076096828,0.10891813918001794,0.20659311560596952,2400,33350,No
338,GCN4_f,GCN4,Forward,1.0473303459110423,1.0267781903962185,2.069433270977966,0.03857986404574259,1.803278766538653,0.0713444456034499,0.15090120149218897,2867,32883,No
462,ZAP1_r,ZAP1,Reverse,1.0467728198615,1.5920499999338267,0.20407082066693216,0.848245362458076,0.8533607679355317,0.39345927063893726,0.5246123608519163,5,35745,No
142,GCN4,GCN4,Both,1.0466939115641778,1.026914471918586,2.118850049008739,0.03416853183878497,1.9910272494796268,0.046477891555792766,0.10511153936463902,3079,32671,No
453,NDD1_r,NDD1,Reverse,1.0465956177219873,1.1441685350961104,1.3129690305073014,0.18947065212631323,2.6697580644223255,0.007590591821670132,0.0219865418282859,1014,34736,Yes
404,NHP10_r,NHP10,Reverse,1.046491976828911,1.0230915930324607,1.0624407733778896,0.2883120305322767,1.1682518793943462,0.2427051794798425,0.3735880773145219,888,34862,No
270,ASH1_f,ASH1,Forward,1.045468210206524,1.0390981311001668,0.9694971504602196,0.3325069473257658,0.5035349471765885,0.6145882163459302,0.7256583759265199,1076,34674,No
363,FHL1_f,FHL1,Forward,1.0453276047536668,1.0366896033328967,2.371100743515257,0.01776070549693721,1.6944494646169181,0.09017990687079792,0.18159515493160677,5577,30173,No
