,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
504,INO2_r,INO2,Reverse,1.0171736920827625,1.009203069722901,0.8936807749419292,0.37154938705904406,0.7797396105891761,0.43554415856204043,0.5258726185512932,3402,42666,No
230,AFT1_f,AFT1,Forward,1.0165541761542947,1.022136372618652,0.6754739652014765,0.4994779610313447,1.2751368204078504,0.20226081883673663,0.27722461882517746,1417,44651,No
341,HAP3_f,HAP3,Forward,1.0165219420882508,1.0581163065488022,0.5432542974723716,0.5870970045851922,1.1191491798295468,0.2630765019005714,0.3491850634707359,817,45251,No
137,BAS1,BAS1,Both,1.0160805394395902,1.0178393395329712,1.0551934805375107,0.291393958672149,1.389722686812761,0.16461310295261722,0.23379832013560126,3709,42359,No
73,ARG81,ARG81,Both,1.0159731081739616,1.0091740499289743,1.7924586321171558,0.07306700217465448,1.858216466759109,0.06313828052265767,0.09979921760032986,19372,26696,No
507,MGA1_r,MGA1,Reverse,1.0154259916792308,1.013595911497036,1.4697064200865106,0.14165927848011675,1.5896030907361205,0.11192429996043934,0.16535549843401592,10907,35161,No
32,ACA1,ACA1,Both,1.0154254405958987,1.0724233835730057,0.24870685510277826,0.8038377516009997,0.29151666326078907,0.7706562015843268,0.8345227376272267,203,45865,No
195,YRM1,YRM1,Both,1.0152976947756853,1.1721927131583845,0.13478792466327824,0.8933415358755378,0.7890121660175723,0.4301048959089374,0.5214467604009385,49,46019,No
85,JHD1,JHD1,Both,1.0149242218632113,1.0275471151233107,1.1087518078189902,0.2675775596152848,2.25603825799739,0.024068235253082815,0.042245141280037896,5162,40906,Yes
281,JHD1_f,JHD1,Forward,1.0149242218632113,1.0275471151233107,1.1087518078189902,0.2675775596152848,2.25603825799739,0.024068235253082815,0.042245141280037896,5162,40906,Yes
477,JHD1_r,JHD1,Reverse,1.0149242218632113,1.0275471151233107,1.1087518078189902,0.2675775596152848,2.25603825799739,0.024068235253082815,0.042245141280037896,5162,40906,Yes
512,SMP1_r,SMP1,Reverse,1.014602196196702,1.0196775398103735,1.2681250220025033,0.20477651554636817,1.9297698275244881,0.053635363575323974,0.08640436652682328,8823,37245,No
67,SUT1,SUT1,Both,1.0142755798719523,0.9647712675266195,0.818708073252845,0.4130023728238762,-2.1329604429890643,0.032927971310256696,0.055004679347815166,3447,42621,No
270,ASH1_f,ASH1,Forward,1.014057052293204,1.0177283288412098,0.5719687873146713,0.5674294463280559,0.3082962615546211,0.7578569104508807,0.8252219691576256,1396,44672,No
187,TBF1,TBF1,Both,1.0136842305439324,1.0208356101159073,1.2041724719093192,0.22854882735057205,2.611029134870713,0.009027020291844752,0.01746015766975235,7515,38553,Yes
441,AFT2_r,AFT2,Reverse,1.0135990944913063,1.0495625063430767,0.6843569142578443,0.4938273514434032,1.944283946446706,0.051861219461555016,0.08400660342532879,1847,44221,No
202,FZF1_f,FZF1,Forward,1.011855937785526,1.053983186235276,0.42073040596807026,0.6740370054059673,1.0524029318987471,0.292614724110116,0.3806580924264341,1013,45055,No
168,GAT1,GAT1,Both,1.0111720626364598,1.0133837683128433,0.8467936552425549,0.3971373902677957,0.5869963709680193,0.5572061440163656,0.6475043728885829,5732,40336,No
500,ARR1_r,ARR1,Reverse,1.0111105976697041,1.0300719394086129,1.068986312290559,0.2850922817111359,2.3942298847935573,0.01665530618943762,0.030508785169437135,9634,36434,Yes
527,YAP1_r,YAP1,Reverse,1.0109454682721313,1.0720665174822586,0.24001679396003028,0.8104695557668904,1.0399683612353716,0.29835460008431014,0.387268222625992,318,45750,No
151,PHD1,PHD1,Both,1.0107588614701972,1.0156167113133827,1.0716347236247217,0.2838959698797768,1.1236431968019946,0.2611644229442387,0.34821923059231824,12878,33190,No
72,ACE2,ACE2,Both,1.0099930209915124,1.009123403512879,1.136929348456806,0.25557416705293295,1.6166281024585467,0.10595858200065111,0.1577307499148933,20059,26009,No
433,PIP2_r,PIP2,Reverse,1.0098906717002356,1.0330758508933247,0.14578787805573834,0.8842791735221613,0.36044971956390864,0.7185108509692246,0.7882171275557912,154,45914,No
442,MATA2_r,MATA2,Reverse,1.0096035590873818,1.0209825047874541,1.0429831797304625,0.29696400278290147,2.173427919500069,0.02974812540260562,0.050996786404466775,15966,30102,No
557,DOT6_r,DOT6,Reverse,1.009105244225452,1.0378477797234038,0.7006950078628951,0.4835164634715492,1.5294953629686947,0.12614168772983866,0.1840479215512286,5389,40679,No
347,PHD1_f,PHD1,Forward,1.0088706005951364,1.00867903926824,0.767926435754292,0.44254463304546343,0.6478200979003105,0.5171013148080343,0.6093298058259001,9212,36856,No
55,GLN3,GLN3,Both,1.0082255874308936,0.9909982743763507,0.6962598428611002,0.48628067243853357,0.2769399785257213,0.7818261942489892,0.8404274263590598,7893,38175,No
305,CHA4_f,CHA4,Forward,1.0079533439031614,0.9899548715020614,0.2608389218555546,0.794258374573368,-0.5821177222013784,0.5604873886556038,0.6500327111035404,1238,44830,No
582,TOD6_r,TOD6,Reverse,1.0079462000643074,1.0327330104791441,0.5470368299385294,0.5843784274349659,1.3440642731231367,0.17892760382676187,0.25049864535746663,3972,42096,No
257,NDD1_f,NDD1,Forward,1.0076404218916428,0.9782441413910558,0.31420810226438955,0.7534076742013831,0.37261507004410166,0.7094349550654455,0.7841123187565451,1373,44695,No
543,PHD1_r,PHD1,Reverse,1.0074913824229161,1.0133417937568716,0.6935143873121999,0.4879965520682692,0.7565302682365668,0.44933133185346075,0.5403002517992533,10755,35313,No
387,YKL222C_f,YKL222C,Forward,1.0073956408696156,1.0141790151711971,0.3956173868008302,0.6924173790052756,-0.03519131492229686,0.9719271876312091,0.9853330798743982,2497,43571,No
172,MIG2,MIG2,Both,1.007070786659086,0.9951213993354556,0.4675864193271705,0.6401010904282795,0.27351370767357885,0.7844583567243009,0.8417180907917681,4075,41993,No
33,ADR1,ADR1,Both,1.0070166934760822,1.0607031247389553,0.20047637183374514,0.841177093101502,1.2363139822378424,0.2163418757472575,0.2944653308782116,573,45495,No
92,RME1,RME1,Both,1.0067446715991153,1.0026678318101172,0.7045610143910026,0.48109035018442003,0.9284068519396329,0.35319656560006085,0.44662275392007694,12811,33257,No
48,XBP1,XBP1,Both,1.0065526518215362,1.0047845976245309,0.5052351994254859,0.6134094576223335,0.8357017287781401,0.40332272247706524,0.49717769563210557,5371,40697,No
169,GAT4,GAT4,Both,1.0065316414962537,1.0410413244390007,0.35499221404880527,0.7226241818014036,1.0903520035700507,0.27555811569776045,0.3632918655387514,2307,43761,No
464,ACE2_r,ACE2,Reverse,1.0058830434207078,0.9963773089342383,0.6505021877801717,0.5153721455612461,0.6161735329000073,0.5377799946500339,0.6311669398287822,17038,29030,No
415,TOS8_r,TOS8,Reverse,1.0058276244318265,1.0048229577670913,0.587937189957583,0.5565800376995563,0.649367254630707,0.5161010241757473,0.6093722936050993,13884,32184,No
156,TEC1,TEC1,Both,1.0050291269766538,1.0046454948477932,0.5258016561548597,0.5990309465388408,0.4863073692682678,0.6267492551439915,0.7114451004337201,12714,33354,No
243,WAR1_f,WAR1,Forward,1.004669219394927,1.0521483922918817,0.07321626239769297,0.9417406039574634,0.9271061083604469,0.35387144496630507,0.4465159005154236,137,45931,No
112,INO2,INO2,Both,1.0039451129525816,1.0146975614539775,0.2719020031064947,0.7857059973474596,0.8198450069288805,0.4123044701075329,0.5050729758817278,5294,40774,No
224,YNR063W_f,YNR063W,Forward,1.0038987452595192,1.0128931585310923,0.29597641935215735,0.7672571860031496,0.36480257163116436,0.7152587853198558,0.7875883254083805,5205,40863,No
74,ASH1,ASH1,Both,1.0035937835961197,1.0073676576949984,0.1876882125709257,0.8511354469395299,0.045231723111937815,0.9639226087316239,0.984004329746866,2371,43697,No
318,YAP3_f,YAP3,Forward,1.0035706115832175,1.0114112881273896,0.3979143420047375,0.6906957063860448,1.5431720414244299,0.12278903897399716,0.18049988729177582,16931,29137,No
532,CRZ1_r,CRZ1,Reverse,1.0032417939339013,1.018433150290723,0.2597171746065519,0.7950888744100999,1.0352483720393701,0.3005529337921108,0.3892623900215003,5728,40340,No
